pre_score,pre_comp_time,post_score,post_comp_time
0.8,112.906,1,64.948
0.6667,111.964,0.8667,75.538
0.4667,140.956,0.8,121.034
0.2,188.01,0.5333,104.769
0.9333,94.53,1,65.21
0.866,87.15,1,111.035
0.7333,94.533,0.9333,65.208
0.7333,136,0.9333,112
0.4667,147,0.8667,142
0.2667,132.62,0.8667,148.61
0.5333,112.88,0.9333,148.84
0.2667,127.74,0.9333,131.54
0.7333,142.375,1,60.506
0.5333,204.107,0.5333,120.639
0.7333,128.087,1,61.054
0.5333,200.159,0.8,100.564
0.3333,158.901,0.6667,154.297
0.4,139.27,0.87,86.505
0.47,81.682,0.87,125.653
0.867,95.126,1,55.495
0.53,176.958,0.8,189.632
0.66,123.574,1,85.38
0.46,145.303,0.73,138.31
0.66,142.103,1,127.914
0.8,135,0.9333,196.8
0.53,156.077,0.8,142.287
0.73,81.752,0.8,109.894
0.7333,81.6,0.9333,85.8
0.7333,198,1,210
0.3333,132.365,1,109.707
0.3333,156.049,0.9333,127.778
0.8,158.483,0.9333,104.316
1,75.206,0.8667,54.189
0.8667,80.895,0.9333,88.143
0.8667,85.168,0.9333,66.971
1,127.638,0.9333,101.265
0.8,113.907,1,129.183
0.6667,202.091,0.6667,149.21
0.6,128.124,0.8667,81.13
0.4,109.491,0.8,106.257
0.8,97.201,0.8,109.79
0.8,60.25,0.9333,75.574
0.6667,269,0.8666,240
0.6667,140,0.8,182
0.6667,246,1,292
0.7333,105.799,0.8,100.48
0.8667,111.902,1,87.115
0.6667,164.845,1,84.672
0.6667,100.055,0.8667,60.813
0.6,104.182,0.7333,88.853
0.6,103.097,0.9333,86.749
0.6667,117.913,0.7333,94.532
0.7333,190.8,0.6,186
0.6,250.8,1,207
0.8,207,0.9333,198
0.9333,107.165,1,56.113
0.7333,107.9,1,93.197
0.4,118.453,0.9333,151.294
0.5,112.954,0.93,84.463
0.53,117.347,0.93,86.337
0.47,73.588,0.8,58.708
